"Participant"	"Frame"	"Preview"	"Sign"	"Pre_Target_Skip"	"FFD_ms"	"GD_ms"	"TRT_ms"	"Group"
218	1	"COR"	"Identical"	0	243	243	463	"Hearing"
206	1	"COR"	"Identical"	1	213	213	213	"Hearing"
209	1	"COR"	"Identical"	0	228	228	263	"Hearing"
212	1	"COR"	"Identical"	0	433	433	433	"Hearing"
215	1	"COR"	"Identical"	0	310	310	310	"Hearing"
221	1	"COR"	"Identical"	0	118	118	257	"Hearing"
224	1	"COR"	"Identical"	0	433	540	540	"Hearing"
227	1	"COR"	"Identical"	0	154	369	369	"Hearing"
230	1	"COR"	"Identical"	0	225	225	586	"Hearing"
203	1	"COR"	"Identical"	1	210	210	369	"Hearing"
204	2	"COR"	"Identical"	0	210	210	210	"Hearing"
207	2	"COR"	"Identical"	0	218	273	320	"Hearing"
210	2	"COR"	"Identical"	0	171	171	582	"Hearing"
213	2	"COR"	"Identical"	0	263	263	1330	"Hearing"
216	2	"COR"	"Identical"	0	189	189	189	"Hearing"
219	2	"COR"	"Identical"	0	133	133	512	"Hearing"
222	2	"COR"	"Identical"	0	242	242	242	"Hearing"
225	2	"COR"	"Identical"	0	203	203	568	"Hearing"
228	2	"COR"	"Identical"	0	151	151	413	"Hearing"
201	2	"COR"	"Identical"	0	162	162	162	"Hearing"
205	3	"COR"	"Identical"	0	63	63	396	"Hearing"
208	3	"COR"	"Identical"	0	NA	NA	0	"Hearing"
211	3	"COR"	"Identical"	0	139	139	1647	"Hearing"
214	3	"COR"	"Identical"	0	120	120	120	"Hearing"
217	3	"COR"	"Identical"	1	300	300	300	"Hearing"
220	3	"COR"	"Identical"	1	411	411	411	"Hearing"
223	3	"COR"	"Identical"	0	198	198	433	"Hearing"
226	3	"COR"	"Identical"	0	228	228	228	"Hearing"
229	3	"COR"	"Identical"	1	220	220	220	"Hearing"
202	3	"COR"	"Identical"	0	132	132	132	"Hearing"
218	4	"COR"	"Identical"	0	295	295	884	"Hearing"
206	4	"COR"	"Identical"	0	177	317	515	"Hearing"
209	4	"COR"	"Identical"	1	603	796	796	"Hearing"
212	4	"COR"	"Identical"	0	44	716	838	"Hearing"
215	4	"COR"	"Identical"	1	173	173	636	"Hearing"
221	4	"COR"	"Identical"	0	139	139	139	"Hearing"
224	4	"COR"	"Identical"	0	265	450	900	"Hearing"
227	4	"COR"	"Identical"	1	318	318	521	"Hearing"
230	4	"COR"	"Identical"	0	271	271	591	"Hearing"
203	4	"COR"	"Identical"	1	164	536	1556	"Hearing"
204	5	"COR"	"Identical"	0	191	191	191	"Hearing"
207	5	"COR"	"Identical"	0	172	172	172	"Hearing"
210	5	"COR"	"Identical"	0	242	242	242	"Hearing"
213	5	"COR"	"Identical"	0	110	110	110	"Hearing"
216	5	"COR"	"Identical"	0	247	247	433	"Hearing"
219	5	"COR"	"Identical"	0	173	173	173	"Hearing"
222	5	"COR"	"Identical"	0	143	143	545	"Hearing"
225	5	"COR"	"Identical"	0	125	125	780	"Hearing"
228	5	"COR"	"Identical"	0	368	368	611	"Hearing"
201	5	"COR"	"Identical"	1	205	205	205	"Hearing"
205	6	"COR"	"Identical"	0	407	689	1562	"Hearing"
208	6	"COR"	"Identical"	0	40	117	241	"Hearing"
211	6	"COR"	"Identical"	0	204	204	1271	"Hearing"
214	6	"COR"	"Identical"	1	105	105	105	"Hearing"
217	6	"COR"	"Identical"	0	165	165	165	"Hearing"
220	6	"COR"	"Identical"	0	243	243	243	"Hearing"
223	6	"COR"	"Identical"	0	197	197	197	"Hearing"
226	6	"COR"	"Identical"	0	344	344	560	"Hearing"
229	6	"COR"	"Identical"	1	NA	NA	0	"Hearing"
202	6	"COR"	"Identical"	0	NA	NA	0	"Hearing"
218	7	"COR"	"Identical"	0	185	185	280	"Hearing"
206	7	"COR"	"Identical"	0	187	187	951	"Hearing"
209	7	"COR"	"Identical"	0	196	369	369	"Hearing"
212	7	"COR"	"Identical"	0	271	271	271	"Hearing"
215	7	"COR"	"Identical"	0	159	159	159	"Hearing"
221	7	"COR"	"Identical"	0	151	151	151	"Hearing"
