Participant	Frame	Preview	Sign	Pre_Target_Skip	FFD_ms	GD_ms	TRT_ms	Reading_Scores	AOA	Group
1	1	UNR	Unrelated	0	102	268	366	204	0	Deaf
1	2	COR	Identical	1	177	589	761	204	0	Deaf
1	3	SIGN	LM	0	212	422	858	204	0	Deaf
1	4	UNR	Unrelated	0	180	180	871	204	0	Deaf
1	5	COR	Identical	0	147	147	147	204	0	Deaf
1	6	SIGN	LM	1	117	265	469	204	0	Deaf
1	7	UNR	Unrelated	0	234	234	234	204	0	Deaf
1	8	COR	Identical	0	133	320	500	204	0	Deaf
1	9	SIGN	LM	0	146	146	146	204	0	Deaf
1	10	UNR	Unrelated	0	496	496	496	204	0	Deaf
1	11	COR	Identical	0	205	402	818	204	0	Deaf
1	12	SIGN	LM	1	213	213	846	204	0	Deaf
1	13	UNR	Unrelated	0	474	474	1014	204	0	Deaf
1	14	COR	Identical	1	260	407	954	204	0	Deaf
1	15	SIGN	LM	1	503	503	1105	204	0	Deaf
1	16	UNR	Unrelated	0	240	240	240	204	0	Deaf
1	17	COR	Identical	0	NA	NA	0	204	0	Deaf
1	18	SIGN	LM	0	255	255	653	204	0	Deaf
1	19	UNR	Unrelated	0	62	62	163	204	0	Deaf
1	20	COR	Identical	0	195	351	617	204	0	Deaf
1	21	SIGN	HL	0	112	112	897	204	0	Deaf
1	22	UNR	Unrelated	0	294	512	1222	204	0	Deaf
1	23	COR	Identical	0	203	203	203	204	0	Deaf
1	24	SIGN	HL	0	256	256	489	204	0	Deaf
1	25	UNR	Unrelated	0	431	431	431	204	0	Deaf
1	26	COR	Identical	0	375	375	887	204	0	Deaf
1	27	SIGN	HLM	0	170	170	902	204	0	Deaf
1	28	UNR	Unrelated	0	313	313	313	204	0	Deaf
1	29	COR	Identical	0	184	184	551	204	0	Deaf
1	30	SIGN	HL	0	158	158	767	204	0	Deaf
1	31	UNR	Unrelated	1	125	814	995	204	0	Deaf
1	32	COR	Identical	0	270	270	695	204	0	Deaf
1	33	SIGN	HL	0	163	163	674	204	0	Deaf
1	34	UNR	Unrelated	0	57	57	516	204	0	Deaf
1	35	COR	Identical	0	244	244	399	204	0	Deaf
1	36	SIGN	HL	0	661	661	877	204	0	Deaf
1	37	UNR	Unrelated	0	25	80	473	204	0	Deaf
1	38	COR	Identical	1	252	252	552	204	0	Deaf
1	39	SIGN	HL	1	240	240	240	204	0	Deaf
1	40	UNR	Unrelated	1	300	300	766	204	0	Deaf
1	41	COR	Identical	0	217	329	506	204	0	Deaf
1	42	SIGN	HM	0	457	861	1257	204	0	Deaf
1	43	UNR	Unrelated	0	56	451	451	204	0	Deaf
1	44	COR	Identical	1	433	433	433	204	0	Deaf
1	45	SIGN	HM	0	186	455	695	204	0	Deaf
1	46	UNR	Unrelated	0	157	246	246	204	0	Deaf
1	47	COR	Identical	1	397	397	1399	204	0	Deaf
1	48	SIGN	HM	0	177	177	559	204	0	Deaf
1	49	UNR	Unrelated	0	300	300	417	204	0	Deaf
1	50	COR	Identical	1	218	218	579	204	0	Deaf
1	51	SIGN	HM	0	226	226	375	204	0	Deaf
1	52	UNR	Unrelated	0	259	259	309	204	0	Deaf
1	53	COR	Identical	0	177	177	177	204	0	Deaf
1	54	SIGN	HM	0	171	171	340	204	0	Deaf
1	55	UNR	Unrelated	1	271	271	591	204	0	Deaf
1	56	COR	Identical	0	155	385	430	204	0	Deaf
1	57	SIGN	HM	0	190	190	538	204	0	Deaf
1	58	UNR	Unrelated	0	152	152	152	204	0	Deaf
1	59	COR	Identical	0	268	268	808	204	0	Deaf
